"alpha_abs_bias","alpha_sd_abs_bias","beta_abs_bias","beta_sd_abs_bias"
0.0195157894093255,0.022390860947008,0.407611517913507,0.0688178451963459
0.0219400312489218,0.0201024985101859,0.353617626841929,0.0681060970776669
0.00577356095494272,0.0163788636198736,0.420445921783439,0.0575456217449105
0.00973509290323887,0.0165434911716162,0.338977287819877,0.0610276278987755
0.0342278545515296,0.0195384097596447,0.292348427565907,0.0632235323857304
0.000275643470862508,0.0195573123098192,0.403347654385251,0.0740739408951506
0.0168697831234781,0.0197600682684296,0.372966376541962,0.0679121293475833
0.0106452545098915,0.0181876084520899,0.312759141138382,0.0679326243822899
0.00941754175979004,0.0187278648973418,0.339420606228618,0.063251021215905
0.0111653845165575,0.0164427615450889,0.353623315899212,0.0615898136343313
0.0253354144645074,0.0171275380099578,0.39731947287827,0.0615218907909566
0.011273094957337,0.0211786848495506,0.379129409906672,0.0729076714149172
0.00126700769056742,0.0177067213606358,0.345856198715507,0.0686721443578357
0.0192368913068,0.0182694649752529,0.315567316696738,0.0632898221195584
0.015724493024788,0.0160450624540549,0.302130374616757,0.0560213295976472
0.00225630789690479,0.0195774922680782,0.424954889207451,0.0721441097948974
0.0174043014825945,0.0200426825058009,0.317571681786168,0.0679252304541182
0.0104604374710622,0.0145062869036115,0.329365685154829,0.0624081162567261
0.0100245615613512,0.0161575723797954,0.370239281295876,0.0581568540962941
0.0195195690041533,0.0190150551169995,0.344802762753218,0.067367939541925
