"alpha_abs_bias","alpha_sd_abs_bias","beta_abs_bias","beta_sd_abs_bias"
0.0172251846803043,0.0169736179944799,0.294750742958094,0.0597015259041629
0.0213144665718006,0.0193457776945567,0.353941425430467,0.0667738987705403
0.0118379905266059,0.015084067466561,0.408743488518163,0.0677765352589429
0.0420111158132507,0.0225903905646657,0.256627258638908,0.0719081041217862
0.028654319384617,0.0191399870646501,0.364407193023165,0.0580557717173718
0.0130350380905254,0.0195126610888531,0.407133104329519,0.0649402252554086
0.0108150799596964,0.0165904474472482,0.361567464061698,0.0640960047971799
0.014955980049274,0.0142012720084828,0.418027645201663,0.0655330145926724
0.0273575392472019,0.0182480861214164,0.254056177322931,0.0626343061197831
0.0142947279495181,0.0148098154451564,0.309976813110612,0.0553610493741585
0.0175829760564476,0.0195830830284046,0.362038765239612,0.0723337319205864
9.25723861681937e-05,0.0153095149917778,0.381716336735057,0.0601979338410416
0.0224587908825938,0.018175019680441,0.28558586914771,0.0614830345532573
0.0147506325381879,0.0193187705734242,0.353165191050293,0.0679823505656552
0.00701026193094489,0.0156463757487885,0.292529979809707,0.0568960748528048
0.0199567613114905,0.0214786004276497,0.392612815851312,0.0690371957017657
0.00487693578657314,0.0165041776971336,0.363962853373176,0.0631167043685812
0.00941391032752495,0.0181276263782821,0.33916154178708,0.060365310798429
0.0147421447030258,0.016449844907335,0.22417689255594,0.058503449056037
0.0185395643455845,0.0190310791580823,0.346248133231472,0.0683280402583195
