"alpha_abs_bias","alpha_sd_abs_bias","beta_abs_bias","beta_sd_abs_bias"
0.00226380320792288,0.0144314436965837,0.411243318168576,0.0589277612781979
0.0132626732714304,0.0204218497375343,0.3455593081326,0.0690388849411639
0.0142506584173274,0.0198528219203114,0.518539840297312,0.0880504048405276
0.0192401941433051,0.0206102118332296,0.37340878011519,0.0722196709809046
0.0129499682535724,0.0150512329673211,0.324418539613014,0.0576053408642945
0.0285210664073699,0.0182993873931843,0.28961123499536,0.0607000189447771
0.00813117186694709,0.0148895356392523,0.348628840366099,0.0599278568482193
0.0108303882681013,0.0144952869213831,0.297180978791672,0.0630628966023956
0.0121920401215413,0.017257040392816,0.305602694006992,0.0625315070872672
0.0228477915723634,0.0231688999226905,0.42180177591105,0.0710911596741817
0.0234105503869922,0.0185704796679619,0.316612815691563,0.0618239445667582
0.032821460704275,0.0198265227664754,0.334727675346078,0.060780312605569
0.0203381591058651,0.0151655880802366,0.306773081939362,0.0538636246115364
0.0300511496018435,0.0203381482822249,0.299832882812132,0.0632246134474515
0.00788339549673586,0.0200142276612296,0.361244330028046,0.0719236447102181
0.0029095010600747,0.0208126096115308,0.411942957243517,0.0717525940951849
0.00689289638274176,0.0172391782741959,0.31465542851351,0.0663485192789264
0.0345921324245954,0.0234067086116063,0.319960203534124,0.0709204573008828
0.0238753889045455,0.0172348035952215,0.207735620242214,0.0607411430879607
0.0103413825938875,0.0179541127533476,0.359664190777987,0.0673675998542016
